IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,01-Apr-02,1138.95,62,18.25,2.93,1.33
NIFTY 50,28-Mar-02,1129.55,62,18.1,2.91,1.34
NIFTY 50,27-Mar-02,1123.35,62,18,2.89,1.35
NIFTY 50,26-Mar-02,1123.05,62,17.99,2.89,1.35
NIFTY 50,22-Mar-02,1138.45,62,18.24,2.93,1.33
NIFTY 50,21-Mar-02,1144.2,62,18.33,2.95,1.32
NIFTY 50,20-Mar-02,1155.6,62,18.51,2.98,1.31
NIFTY 50,19-Mar-02,1152.15,62,18.46,2.97,1.31
NIFTY 50,18-Mar-02,1169.3,62,18.73,3.01,1.29
NIFTY 50,15-Mar-02,1169.75,62,18.74,3.01,1.29
NIFTY 50,14-Mar-02,1159.45,62,18.58,2.99,1.31
NIFTY 50,13-Mar-02,1157.05,62,18.54,2.98,1.31
NIFTY 50,12-Mar-02,1150.45,62,18.43,2.96,1.32
NIFTY 50,11-Mar-02,1167.85,62,18.71,3.01,1.3
NIFTY 50,08-Mar-02,1187.65,62,19.03,3.06,1.27
NIFTY 50,07-Mar-02,1193.05,62,19.11,3.07,1.27
NIFTY 50,06-Mar-02,1172.6,62,18.79,3.02,1.29
NIFTY 50,05-Mar-02,1178.5,62,18.99,3.03,1.28
NIFTY 50,04-Mar-02,1177.35,62,18.97,3.03,1.29
NIFTY 50,01-Mar-02,1178,62,18.96,3.04,1.29
NIFTY 50,28-Feb-02,1142.05,62,18.38,2.94,1.33
NIFTY 50,27-Feb-02,1189.2,62,19.14,3.07,1.27
NIFTY 50,26-Feb-02,1189.4,62,19.14,3.07,1.27
NIFTY 50,25-Feb-02,1165.45,62,18.76,3,1.3
NIFTY 50,22-Feb-02,1163.5,62,18.72,3,1.29
NIFTY 50,21-Feb-02,1149.85,62,18.5,2.96,1.3
NIFTY 50,20-Feb-02,1145.95,62,18.44,2.95,1.31
NIFTY 50,19-Feb-02,1158.9,62,18.66,2.99,1.29
NIFTY 50,18-Feb-02,1172.85,62,18.88,3.02,1.28
NIFTY 50,15-Feb-02,1159.95,62,18.68,2.99,1.29
NIFTY 50,14-Feb-02,1150,62,18.52,2.96,1.3
NIFTY 50,13-Feb-02,1135.1,62,18.28,2.93,1.32
NIFTY 50,12-Feb-02,1129.5,62,18.19,2.91,1.33
NIFTY 50,11-Feb-02,1131.55,62,18.22,2.92,1.33
NIFTY 50,08-Feb-02,1123.75,62,18.09,2.9,1.33
NIFTY 50,07-Feb-02,1110.45,62,17.88,2.86,1.35
NIFTY 50,06-Feb-02,1113.1,62,17.92,2.87,1.35
NIFTY 50,05-Feb-02,1074.25,62,17.3,2.77,1.27
NIFTY 50,04-Feb-02,1076.9,62,17.34,2.78,1.26
NIFTY 50,01-Feb-02,1081.65,62,17.42,2.79,1.26
NIFTY 50,31-Jan-02,1075.4,63,16.99,2.79,1.26
NIFTY 50,30-Jan-02,1067.45,63,16.87,2.77,1.26
NIFTY 50,29-Jan-02,1071.65,63,16.93,2.75,1.27
NIFTY 50,28-Jan-02,1071.35,63,16.93,2.76,1.27
NIFTY 50,25-Jan-02,1080.1,63,17.06,2.76,1.27
NIFTY 50,24-Jan-02,1085.3,63,17.19,2.79,1.26
NIFTY 50,23-Jan-02,1089.4,63,17.26,2.81,1.26
NIFTY 50,22-Jan-02,1092.85,63,17.31,2.83,1.25
NIFTY 50,21-Jan-02,1091.35,63,17.29,2.83,1.25
NIFTY 50,18-Jan-02,1093.15,63,17.32,2.83,1.25
NIFTY 50,17-Jan-02,1109.2,63,17.57,2.78,1.25
NIFTY 50,16-Jan-02,1090.3,70,15.56,2.82,1.23
NIFTY 50,15-Jan-02,1094.15,70,15.61,2.46,1.43
NIFTY 50,14-Jan-02,1109.8,69,16.08,2.47,1.43
NIFTY 50,11-Jan-02,1088.55,69,15.78,2.5,1.41
NIFTY 50,10-Jan-02,1098.2,69,15.91,2.46,1.44
NIFTY 50,09-Jan-02,1102.8,69,15.98,2.48,1.42
NIFTY 50,08-Jan-02,1109.9,69,16.09,2.49,1.41
NIFTY 50,07-Jan-02,1100.15,69,15.94,2.5,1.4
NIFTY 50,04-Jan-02,1096.2,69,15.89,2.48,1.41
NIFTY 50,03-Jan-02,1072.25,69,15.54,2.47,1.42
NIFTY 50,02-Jan-02,1060.75,69,15.37,2.42,1.46
NIFTY 50,01-Jan-02,1055.3,69,15.29,2.39,1.47
NIFTY 50,31-Dec-01,1059.05,69,15.35,2.38,1.48
NIFTY 50,28-Dec-01,1033.8,69,14.98,2.39,1.48
NIFTY 50,27-Dec-01,1020,69,14.78,2.33,1.51
NIFTY 50,26-Dec-01,1034.25,69,14.99,2.3,1.53
NIFTY 50,24-Dec-01,1048.5,69,15.19,2.33,1.51
NIFTY 50,21-Dec-01,1050.85,69,15.23,2.37,1.49
NIFTY 50,20-Dec-01,1062,69,15.39,2.37,1.49
NIFTY 50,19-Dec-01,1060.75,69,15.37,2.4,1.47
NIFTY 50,18-Dec-01,1082.3,69,15.68,2.39,1.47
NIFTY 50,14-Dec-01,1087.85,69,15.76,2.44,1.44
NIFTY 50,13-Dec-01,1098.75,69,15.92,2.45,1.44
NIFTY 50,12-Dec-01,1107.65,69,16.05,2.48,1.43
NIFTY 50,11-Dec-01,1110.2,69,16.09,2.5,1.42
NIFTY 50,10-Dec-01,1115.25,69,16.16,2.5,1.41
NIFTY 50,07-Dec-01,1112.3,69,16.12,2.52,1.41
NIFTY 50,06-Dec-01,1110.45,69,16.09,2.51,1.41
NIFTY 50,05-Dec-01,1104.55,69,16.01,2.51,1.41
NIFTY 50,04-Dec-01,1077.7,69,15.62,2.49,1.42
NIFTY 50,03-Dec-01,1065.4,69,15.44,2.43,1.46
NIFTY 50,29-Nov-01,1067.15,69,15.46,2.4,1.47
NIFTY 50,28-Nov-01,1070.8,69,15.52,2.41,1.47
NIFTY 50,27-Nov-01,1076.05,69,15.59,2.42,1.46
NIFTY 50,26-Nov-01,1080.6,69,15.66,2.43,1.46
NIFTY 50,23-Nov-01,1059,69,15.35,2.44,1.45
NIFTY 50,22-Nov-01,1062.45,69,15.4,2.39,1.48
NIFTY 50,21-Nov-01,1056.35,69,15.31,2.4,1.48
NIFTY 50,20-Nov-01,1050.2,69,15.22,2.38,1.49
NIFTY 50,19-Nov-01,1068.15,69,15.48,2.37,1.5
NIFTY 50,15-Nov-01,1035.7,69,15.01,2.41,1.47
NIFTY 50,14-Nov-01,1015.8,69,14.72,2.34,1.52
NIFTY 50,13-Nov-01,1005.4,69,14.57,2.29,1.55
NIFTY 50,12-Nov-01,1010.9,69,14.65,2.27,1.56
NIFTY 50,09-Nov-01,1004.05,69,14.55,2.28,1.56
NIFTY 50,08-Nov-01,997.7,70,14.16,2.27,1.55
NIFTY 50,07-Nov-01,987.5,70,14.01,2.25,1.56
NIFTY 50,06-Nov-01,1001.9,70,14.22,2.26,1.56
NIFTY 50,05-Nov-01,991.05,70,14.06,2.24,1.57
NIFTY 50,02-Nov-01,997.6,70,14.16,2.25,1.56
NIFTY 50,01-Nov-01,994,70,14.11,2.24,1.57
NIFTY 50,31-Oct-01,971.9,70,13.79,2.19,1.61
NIFTY 50,30-Oct-01,963.1,69,13.99,2.17,1.62
NIFTY 50,29-Oct-01,977.45,69,14.18,2.2,1.59
NIFTY 50,25-Oct-01,983.2,69,14.26,2.22,1.59
NIFTY 50,24-Oct-01,991.2,69,14.38,2.23,1.54
NIFTY 50,23-Oct-01,993.2,69,14.4,2.24,1.54
NIFTY 50,22-Oct-01,976.4,69,14.15,2.2,1.56
NIFTY 50,19-Oct-01,976.65,69,14.16,2.2,1.54
NIFTY 50,18-Oct-01,972.05,69,13.99,2.19,1.55
