date,symbol,weight,in_index,source
2008-10-01,RELINFRA,0.75992,1.0,historic_data_figshare
2008-10-01,RPL,2.67973,1.0,historic_data_figshare
2008-10-01,RPOWER,1.52985,1.0,historic_data_figshare
2008-10-01,SAIL,2.18978,1.0,historic_data_figshare
2008-10-01,SATYAMCOMP,0.82992,1.0,historic_data_figshare
2008-10-01,SBIN,3.85961,1.0,historic_data_figshare
2008-10-01,SIEMENS,0.55994,1.0,historic_data_figshare
2008-10-01,STER,1.25987,1.0,historic_data_figshare
2008-10-01,SUNPHARMA,1.27987,1.0,historic_data_figshare
2008-10-01,SUZLON,0.94991,1.0,historic_data_figshare
2008-10-01,TATACOMM,0.55994,1.0,historic_data_figshare
2008-10-01,TATAMOTORS,0.63994,1.0,historic_data_figshare
2008-10-01,TATAPOWER,0.82992,1.0,historic_data_figshare
